0,0,0
0,1,0
0,2,1
0,3,1
1,0,0
1,1,1
1,2,0
1,3,1
2,0,0
2,1,1
2,2,1
2,3,0
3,0,0
3,1,1
3,2,0
3,3,1
4,0,0
4,1,0
4,2,1
4,3,1
5,0,0
5,1,1
5,2,0
5,3,1
6,0,0
6,1,1
6,2,1
6,3,0
7,0,0
7,1,1
7,2,0
7,3,1
8,0,0
8,1,0
8,2,1
8,3,1
9,0,0
9,1,1
9,2,0
9,3,1
10,0,0
10,1,1
10,2,1
10,3,0
11,0,0
11,1,1
11,2,0
11,3,1
12,0,0
12,1,0
12,2,1
12,3,1
13,0,0
13,1,1
13,2,0
13,3,1
14,0,0
14,1,1
14,2,1
14,3,0
15,0,0
15,1,1
15,2,0
15,3,1
16,0,0
16,1,0
16,2,1
16,3,1
17,0,0
17,1,1
17,2,0
17,3,1
18,0,0
18,1,1
18,2,1
18,3,0
19,0,0
19,1,1
19,2,0
19,3,1
20,0,0
20,1,0
20,2,1
20,3,1
21,0,0
21,1,1
21,2,0
21,3,1
22,0,0
22,1,1
22,2,1
22,3,0
23,0,0
23,1,1
23,2,0
23,3,1
24,0,0
24,1,0
24,2,1
24,3,1
25,0,0
25,1,1
25,2,0
25,3,1
26,0,0
26,1,1
26,2,1
26,3,0
27,0,0
27,1,1
27,2,0
27,3,1
28,0,0
28,1,0
28,2,1
28,3,1
